0.2	0.902502
0.4	0.809834
0.6	0.721836
0.8	0.638352
1	0.559229
1.2	0.484319
1.4	0.413478
1.6	0.346565
1.8	0.283442
2	0.223976
2.2	0.168035
2.4	0.115494
2.6	0.0662289
2.8	0.0201184
3	-0.0229541
3.2	-0.0631029
3.4	-0.100439
3.6	-0.135071
3.8	-0.167103
4	-0.196638
4.2	-0.223775
4.4	-0.248611
4.6	-0.271241
4.8	-0.291755
5	-0.310243
5.2	-0.32679
5.4	-0.341482
5.6	-0.354399
5.8	-0.36562
6	-0.375222
6.2	-0.38328
6.4	-0.389867
6.6	-0.395052
6.8	-0.398903
7	-0.401487
7.2	-0.402868
7.4	-0.403107
7.6	-0.402266
7.8	-0.400401
8	-0.397571
8.2	-0.393828
8.4	-0.389227
8.6	-0.383818
8.8	-0.377651
9	-0.370773
9.2	-0.363232
9.4	-0.355071
9.6	-0.346335
9.8	-0.337064
10	-0.327299
10.2	-0.317078
10.4	-0.30644
10.6	-0.295421
10.8	-0.284054
11	-0.272375
11.2	-0.260415
11.4	-0.248204
11.6	-0.235774
11.8	-0.223153
12	-0.210368
12.2	-0.197446
12.4	-0.184413
12.6	-0.171292
12.8	-0.158107
13	-0.144881
13.2	-0.131636
13.4	-0.11839
13.6	-0.105165
13.8	-0.0919788
14	-0.0788492
14.2	-0.0657934
14.4	-0.0528274
14.6	-0.0399668
14.8	-0.0272262
15	-0.0146193
15.2	-0.00215944
15.4	0.010141
15.6	0.0222702
15.8	0.0342172
16	0.0459715
16.2	0.0575232
16.4	0.0688631
16.6	0.0799827
16.8	0.0908739
17	0.101529
17.2	0.111941
17.4	0.122105
17.6	0.132012
17.8	0.14166
18	0.151041
18.2	0.160153
18.4	0.16899
18.6	0.177549
18.8	0.185828
19	0.193822
19.2	0.20153
19.4	0.20895
19.6	0.21608
19.8	0.222918
20	0.229464
20.2	0.235716
20.4	0.241675
20.6	0.24734
20.8	0.252712
21	0.25779
21.2	0.262577
21.4	0.267072
21.6	0.271277
21.8	0.275193
22	0.278822
22.2	0.282166
22.4	0.285227
22.6	0.288008
22.8	0.29051
23	0.292736
23.2	0.29469
23.4	0.296375
23.6	0.297792
23.8	0.298946
24	0.299841
