0	0
0.01	-0.00187129
0.02	-0.00248366
0.03	-0.00283375
0.04	-0.00306298
0.05	-0.00321824
0.06	-0.00332062
0.07	-0.00338164
0.08	-0.00340822
0.09	-0.00340505
0.1	-0.0033755
0.11	-0.00332221
0.12	-0.00324737
0.13	-0.00315283
0.14	-0.00304036
0.15	-0.00291153
0.16	-0.00276793
0.17	-0.00261105
0.18	-0.00244237
0.19	-0.00226341
0.2	-0.0020756
0.21	-0.00188043
0.22	-0.00167935
0.23	-0.00147381
0.24	-0.0012653
0.25	-0.00105506
0.26	-0.000844753
0.27	-0.000635481
0.28	-0.00042883
0.29	-0.000225837
0.3	-2.79821e-005
0.31	0.000163781
0.32	0.000348102
0.33	0.000524141
0.34	0.000690823
0.35	0.000847166
0.36	0.000992465
0.37	0.00112593
0.38	0.00124698
0.39	0.00135496
0.4	0.00144956
0.41	0.0015303
0.42	0.00159702
0.43	0.0016495
0.44	0.00168773
0.45	0.00171173
0.46	0.00172164
0.47	0.00171769
0.48	0.00170028
0.49	0.00166972
0.5	0.00162656
0.51	0.00157134
0.52	0.00150487
0.53	0.00142766
0.54	0.00134061
0.55	0.00124452
0.56	0.00114051
0.57	0.00102916
0.58	0.00091163
0.59	0.000788927
0.6	0.000662223
0.61	0.000532267
0.62	0.000400245
0.63	0.000267223
0.64	0.000134397
0.65	2.46781e-006
0.66	-0.000127396
0.67	-0.000254234
0.68	-0.00037709
0.69	-0.000494956
0.7	-0.000607253
0.71	-0.000713075
0.72	-0.000811651
0.73	-0.000902259
0.74	-0.000984487
0.75	-0.00105772
0.76	-0.00112147
0.77	-0.00117536
0.78	-0.0012192
0.79	-0.00125272
0.8	-0.00127577
0.81	-0.00128834
0.82	-0.00129043
0.83	-0.0012822
0.84	-0.00126379
0.85	-0.00123553
0.86	-0.00119767
0.87	-0.00115067
0.88	-0.001095
0.89	-0.00103127
0.9	-0.000959934
0.91	-0.000881709
0.92	-0.000797266
0.93	-0.000707489
0.94	-0.000612773
0.95	-0.00051438
0.96	-0.000412905
0.97	-0.000308927
0.98	-0.000203788
0.99	-9.80828e-005
1	7.61108e-006
